Date,Total,Curated,Deaths
24.2.2020,14,12,0
25.2.2020,14,13,0
26.2.2020,14,13,0
27.2.2020,14,14,0
28.2.2020,15,14,0
29.2.2020,15,14,0
1.3.2020,19,14,0
2.3.2020,25,14,0
3.3.2020,35,14,0
4.3.2020,48,14,0
5.3.2020,70,14,0
6.3.2020,117,14,0
7.3.2020,134,14,0
8.3.2020,172,14,0
9.3.2020,256,14,0
10.3.2020,314,14,0
11.3.2020,366,14,0
12.3.2020,500,14,0
13.3.2020,558,14,0
14.3.2020,681,14,1
15.3.2020,886,14,4
16.3.2020,1067,14,5
17.3.2020,1352,14,5
18.3.2020,1798,14,5
19.3.2020,2282,14,13
20.3.2020,3107,15,20
21.3.2020,3695,15,21
22.3.2020,4457,21,22
23.3.2020,5719,21,27
24.3.2020,6362,41,33
25.3.2020,7689,47,41
26.3.2020,8842,99,52
27.3.2020,10180,208,59
28.3.2020,11862,276,85
29.3.2020,13263,332,110
30.3.2020,14437,637,133
31.3.2020,15505,900,191
1.4.2020,17151,2230,241
2.4.2020,19153,2910,277
3.4.2020,20962,3690,327
4.4.2020,23049,4540,370
5.4.2020,24350,4540,411
6.4.2020,25355,5810,444
7.4.2020,26567,6600,495
8.4.2020,28053,7900,589
9.4.2020,29262,9330,653
10.4.2020,30862,10720,721
11.4.2020,31773,11970,760
12.4.2020,32782,12820,803
13.4.2020,33329,13620,834
14.4.2020,33913,14910,891
15.4.2020,34664,16310,995
16.4.2020,35523,17920,1070
17.4.2020,37254,20880,1226
