Date,Total,Curated,Deaths
24.2.2020,14,12,0
25.2.2020,16,13,0
26.2.2020,19,13,0
27.2.2020,24,14,0
28.2.2020,53,14,0
29.2.2020,66,14,0
1.3.2020,117,14,0
2.3.2020,150,14,0
3.3.2020,188,14,0
4.3.2020,262,14,0
5.3.2020,400,14,0
6.3.2020,639,14,0
7.3.2020,795,14,0
8.3.2020,903,14,0
9.3.2020,1139,14,0
10.3.2020,1565,18,2
11.3.2020,1966,25,3
12.3.2020,2745,25,6
13.3.2020,3675,46,8
14.3.2020,4585,46,9
15.3.2020,5813,46,13
16.3.2020,7272,67,17
17.3.2020,9360,71,26
18.3.2020,12327,105,28
19.3.2020,15320,115,44
20.3.2020,19848,180,68
21.3.2020,22364,239,84
22.3.2020,24873,266,94
23.3.2020,29056,453,123
24.3.2020,32991,3290,159
25.3.2020,37323,3547,206
26.3.2020,43211,5678,262
27.3.2020,49039,6932,323
28.3.2020,54268,8481,398
29.3.2020,58655,9291,456
30.3.2020,66125,13500,616
31.3.2020,71808,15826,775
1.4.2020,77779,19175,909
2.4.2020,84788,22440,1107
3.4.2020,91159,24981,1275
4.4.2020,95614,26144,1427
5.4.2020,100024,26469,1567
6.4.2020,101806,36081,1680
7.4.2020,107458,38287,1983
8.4.2020,111779,43656,2196
9.4.2020,115523,52407,2451
10.4.2020,120157,55980,2688
11.4.2020,124288,58190,2736
12.4.2020,127429,60260,2996
13.4.2020,128208,62925,3043
14.4.2020,131359,67056,3294
15.4.2020,133456,71995,3592
16.4.2020,136569,76881,3943
17.4.2020,139702,83114,4203
18.4.2020,143160,85400,4451
19.4.2020,145184,88000,4586
20.4.2020,146643,91500,4706
21.4.2020,148291,95200,5033
22.4.2020,150062,99400,5250
23.4.2020,151285,103300,5367
24.4.2020,154545,106800,5723
25.4.2020,156126,109800,5846
26.4.2020,157495,112000,5944
27.4.2020,158389,114500,6050
28.4.2020,159431,117400,6215
29.4.2020,161173,120400,6399
30.4.2020,162530,123500,6572
1.5.2020,163936,126900,6708
2.5.2020,164967,129000,6794
3.5.2020,165565,130600,6848
4.5.2020,165914,132700,6935
5.5.2020,166706,135278,6993
6.5.2020,167817,137696,7275
7.5.2020,169430,140004,7392
8.5.2020,170489,141936,7468
9.5.2020,171324,143370,7549
10.5.2020,171780,144575,7560
11.5.2020,172576,145617,7661
12.5.2020,173042,147298,7722
13.5.2020,174098,148700,7859
14.5.2020,174478,150300,7884
15.5.2020,175233,151597,7897
16.5.2020,175752,152600,7938
17.5.2020,176369,154011,7962
18.5.2020,176551,155041,8003
19.5.2020,177778,155681,8081
20.5.2020,178473,156966,8144
21.5.2020,178748,158087,8203
22.5.2020,179710,159064,8228
23.5.2020,179945,159716,8261
24.5.2020,180328,160281,8283
25.5.2020,180595,161199,8309
26.5.2020,181200,161967,8372
27.5.2020,181524,162820,8428
28.5.2020,182196,163360,8470
29.5.2020,182922,164245,8504
30.5.2020,183189,164908,8530
31.5.2020,183410,165352,8540
1.6.2020,183594,165632,8555
2.6.2020,183879,166609,8563
3.6.2020,184121,167453,8602
4.6.2020,184472,167909,8635
5.6.2020,184924,168480,8658
6.6.2020,185450,168958,8673
7.6.2020,185750,169224,8685
8.6.2020,186109,169556,8695
9.6.2020,186506,170129,8736
10.6.2020,186522,170630,8752
11.6.2020,186691,170961,8772
12.6.2020,187226,171535,8783
13.6.2020,187267,171970,8793
14.6.2020,187518,172089,8801
15.6.2020,187682,172692,8807
16.6.2020,188252,172842,8820
17.6.2020,189261,173599,8851
18.6.2020,189810,173841,8875
19.6.2020,190299,173972,8887
20.6.2020,190670,174609,8895
21.6.2020,191272,174740,8895
22.6.2020,191768,175143,8899
23.6.2020,192480,175825,8914
24.6.2020,192871,176422,8928
25.6.2020,193371,176764,8940
26.6.2020,194036,177149,8965
27.6.2020,194458,177518,8968
28.6.2020,194693,177657,8968

