Date,Total,Curated,Deaths
24.2.2020,28,5,0
25.2.2020,28,6,0
26.2.2020,28,6,0
27.2.2020,29,6,0
28.2.2020,29,7,0
29.2.2020,37,7,1
1.3.2020,43,7,1
2.3.2020,67,7,6
3.3.2020,88,8,7
4.3.2020,117,8,11
5.3.2020,186,8,12
6.3.2020,232,8,14
7.3.2020,351,8,17
8.3.2020,469,8,21
9.3.2020,535,8,22
10.3.2020,892,8,28
11.3.2020,1214,8,36
12.3.2020,1596,12,40
13.3.2020,1647,12,41
14.3.2020,2656,12,54
15.3.2020,3338,12,63
16.3.2020,4557,17,85
17.3.2020,6348,17,107
18.3.2020,7704,106,118
19.3.2020,13595,108,199
20.3.2020,18998,147,244
21.3.2020,25379,171,306
22.3.2020,33141,178,414
23.3.2020,43067,178,529
24.3.2020,53099,178,692
25.3.2020,55066,354,798
26.3.2020,83304,680,1197
27.3.2020,101431,869,1574
28.3.2020,120788,961,2003
29.3.2020,132279,2612,2344
30.3.2020,158800,5595,2935
31.3.2020,183723,6043,3708
1.4.2020,208520,8434,4616
2.4.2020,238234,8889,5739
3.4.2020,269878,9445,6866
4.4.2020,305075,14520,8265
5.4.2020,330445,16848,9429
6.4.2020,356114,18999,10494
7.4.2020,386920,20191,12252
8.4.2020,422186,23127,14356
9.4.2020,453285,24962,16224
10.4.2020,490290,27744,18267
11.4.2020,521151,30580,20230
12.4.2020,548772,32728,21681
13.4.2020,576057,42924,23166
14.4.2020,592937,45573,25349
15.4.2020,631553,51160,27791
16.4.2020,656596,53725,32122
